simulation,match_id,team_a,team_b,ga,gb,outcome,winner,loser
4,96,Switzerland,Uruguay,0,0,D,Uruguay,Switzerland
4,97,Germany,Senegal,3,2,H,Germany,Senegal
4,98,Spain,Algeria,2,1,H,Spain,Algeria
4,99,France,Croatia,2,1,H,France,Croatia
4,100,Australia,Uruguay,2,0,H,Australia,Uruguay
4,101,Germany,Spain,1,1,D,Germany,Spain
4,102,France,Australia,3,0,H,France,Australia
4,103,Spain,Australia,3,1,H,Spain,Australia
4,104,Germany,France,2,3,A,France,Germany
5,1,Mexico,South Africa,2,0,H,Mexico,
5,2,South Korea,Czech Republic,3,1,H,South Korea,
5,3,Canada,Bosnia and Herzegovina,1,0,H,Canada,
5,4,USA,Paraguay,1,1,D,,
5,5,Australia,Turkey,2,2,D,,
5,6,Qatar,Switzerland,2,3,A,Switzerland,
5,7,Brazil,Morocco,1,1,D,,
5,8,Haiti,Scotland,0,1,A,Scotland,
5,9,Germany,Curaçao,6,0,H,Germany,
5,10,Netherlands,Japan,0,1,A,Japan,
5,11,Côte d'Ivoire,Ecuador,1,1,D,,
5,12,Sweden,Tunisia,1,1,D,,
5,13,Spain,Cabo Verde,3,1,H,Spain,
5,14,Belgium,Egypt,1,2,A,Egypt,
5,15,Saudi Arabia,Uruguay,1,0,H,Saudi Arabia,
5,16,Iran,New Zealand,5,1,H,Iran,
5,17,Austria,Jordan,2,0,H,Austria,
5,18,France,Senegal,5,2,H,France,
5,19,Iraq,Norway,0,2,A,Norway,
5,20,Argentina,Algeria,2,2,D,,
5,21,Portugal,DR Congo,3,1,H,Portugal,
5,22,England,Croatia,2,0,H,England,
5,23,Ghana,Panama,0,0,D,,
5,24,Uzbekistan,Colombia,2,5,A,Colombia,
5,25,Czech Republic,South Africa,0,1,A,South Africa,
5,26,Switzerland,Bosnia and Herzegovina,2,2,D,,
5,27,Canada,Qatar,0,0,D,,
5,28,Mexico,South Korea,0,2,A,South Korea,
5,29,Turkey,Paraguay,2,1,H,Turkey,
5,30,USA,Australia,0,0,D,,
