model,class,feature,importance,abs_importance
logistic_regression_exp_h2h,H,num__win_rate_diff_last5,0.0748247333343967,0.0748247333343967
logistic_regression_exp_h2h,D,num__both_teams_have_major_tournament_history,0.07252400920091491,0.07252400920091491
logistic_regression_exp_h2h,A,num__h2h_goals_for_per_match_prior_filled,0.07177021443863732,0.07177021443863732
logistic_regression_exp_h2h,A,num__exp_world_cup_matches_prior_diff,-0.0715553818434618,0.0715553818434618
logistic_regression_exp_h2h,A,num__h2h_home_team_losses_prior,0.07135071168926624,0.07135071168926624
logistic_regression_exp_h2h,A,num__exp_same_tournament_matches_prior_diff,0.07116767317226005,0.07116767317226005
logistic_regression_exp_h2h,H,cat__away_confederation_CONCACAF,0.07053647438770264,0.07053647438770264
logistic_regression_exp_h2h,D,num__home_exp_major_points_per_match_prior_filled,-0.06947780006195357,0.06947780006195357
logistic_regression_exp_h2h,A,num__has_h2h_history,-0.06876982423036938,0.06876982423036938
logistic_regression_exp_h2h,A,num__has_h2h_last5,-0.06876982423036938,0.06876982423036938
logistic_regression_exp_h2h,D,num__weighted_goal_diff_delta_last5,0.06752039929349699,0.06752039929349699
logistic_regression_exp_h2h,D,num__exp_years_since_first_match_diff_filled,0.06712595058542217,0.06712595058542217
logistic_regression_exp_h2h,A,num__home_exp_major_points_per_match_prior_filled,0.06549816680754918,0.06549816680754918
logistic_regression_exp_h2h,A,num__weighted_form_points_diff_last5,0.06311862978312494,0.06311862978312494
logistic_regression_exp_h2h,D,cat__confederation_pair_CONCACAF_vs_CONMEBOL,0.0630181737736029,0.0630181737736029
logistic_regression_exp_h2h,D,num__exp_major_goal_diff_per_match_prior_diff_filled,-0.06216989306532071,0.06216989306532071
logistic_regression_exp_h2h,H,num__exp_same_tournament_matches_prior_diff,-0.061394457820336416,0.061394457820336416
logistic_regression_exp_h2h,D,cat__confederation_pair_UEFA_vs_CAF,-0.06119410940071489,0.06119410940071489
logistic_regression_exp_h2h,H,num__h2h_goal_diff_per_match_last5_filled,0.05997065566766534,0.05997065566766534
logistic_regression_exp_h2h,H,num__away_exp_same_family_matches_prior,-0.05890204502905066,0.05890204502905066
logistic_regression_exp_h2h,A,cat__host_confederation_CONCACAF,-0.05841289256852864,0.05841289256852864
logistic_regression_exp_h2h,A,num__away_exp_major_goal_diff_per_match_prior_filled,-0.05786943806075374,0.05786943806075374
logistic_regression_exp_h2h,D,num__elo_diff_pre,0.05783179727758529,0.05783179727758529
logistic_regression_exp_h2h,D,num__elo_diff,0.05783179727758529,0.05783179727758529
logistic_regression_exp_h2h,D,num__away_exp_qualifier_matches_prior,0.05756562168434917,0.05756562168434917
logistic_regression_exp_h2h,H,num__form_points_per_match_diff_last10,-0.05749869432677849,0.05749869432677849
logistic_regression_exp_h2h,A,num__exp_same_family_matches_prior_diff,-0.0564630736078152,0.0564630736078152
logistic_regression_exp_h2h,D,num__win_rate_diff_last5,-0.056066470492695225,0.056066470492695225
logistic_regression_exp_h2h,H,cat__confederation_pair_AFC_vs_UEFA,-0.0559418857279682,0.0559418857279682
logistic_regression_exp_h2h,A,num__exp_major_recency_advantage_filled,-0.055205963859927085,0.055205963859927085
