v3_weight,baseline_weight,validation_log_loss,validation_brier
0.25,0.75,0.9671993169871054,0.5734636563126404
0.251,0.749,0.9671673942663348,0.5734463552465143
0.252,0.748,0.9671355401291362,0.5734290860396862
0.253,0.747,0.9671037544950772,0.5734118486921557
0.254,0.746,0.9670720372840672,0.5733946432039231
0.255,0.745,0.9670403884163551,0.5733774695749884
0.256,0.744,0.9670088078125274,0.5733603278053511
0.257,0.743,0.9669772953935066,0.5733432178950119
0.258,0.742,0.9669458510805494,0.5733261398439704
0.259,0.741,0.9669144747952452,0.5733090936522266
0.26,0.74,0.9668831664595136,0.5732920793197808
0.261,0.739,0.9668519259956028,0.5732750968466326
0.262,0.738,0.9668207533260882,0.5732581462327823
0.263,0.737,0.9667896483738709,0.5732412274782297
0.264,0.736,0.9667586110621753,0.5732243405829749
0.265,0.735,0.966727641314548,0.5732074855470178
0.266,0.734,0.9666967390548553,0.5731906623703585
0.267,0.733,0.9666659042072822,0.5731738710529971
0.268,0.732,0.9666351366963307,0.5731571115949334
0.269,0.731,0.9666044364468179,0.5731403839961676
0.27,0.73,0.9665738033838746,0.5731236882566996
0.271,0.729,0.9665432374329433,0.5731070243765292
0.272,0.728,0.9665127385197769,0.5730903923556566
0.273,0.727,0.9664823065704369,0.5730737921940819
0.274,0.726,0.9664519415112921,0.5730572238918049
0.275,0.725,0.9664216432690165,0.5730406874488257
0.276,0.724,0.9663914117705883,0.5730241828651444
0.277,0.723,0.9663612469432881,0.5730077101407608
0.278,0.722,0.9663311487146973,0.572991269275675
0.279,0.721,0.9663011170126964,0.5729748602698869
0.28,0.72,0.9662711517654641,0.5729584831233965
0.281,0.719,0.9662412529014748,0.5729421378362041
0.282,0.718,0.9662114203494981,0.5729258244083094
0.283,0.7170000000000001,0.9661816540385967,0.5729095428397126
0.284,0.716,0.9661519538981252,0.5728932931304135
0.285,0.7150000000000001,0.9661223198577285,0.5728770752804121
0.286,0.714,0.9660927518473403,0.5728608892897085
0.287,0.7130000000000001,0.9660632497971819,0.5728447351583028
0.288,0.712,0.9660338136377603,0.5728286128861948
0.289,0.7110000000000001,0.9660044432998673,0.5728125224733845
0.29,0.71,0.9659751387145779,0.572796463919872
0.291,0.7090000000000001,0.9659458998132484,0.5727804372256575
0.292,0.708,0.965916726527516,0.5727644423907408
0.293,0.7070000000000001,0.9658876187892969,0.5727484794151216
0.294,0.706,0.9658585765307842,0.5727325482988004
0.295,0.7050000000000001,0.9658295996844478,0.5727166490417768
0.296,0.704,0.9658006881830327,0.5727007816440511
0.297,0.7030000000000001,0.9657718419595568,0.5726849461056231
0.298,0.702,0.9657430609473107,0.572669142426493
0.299,0.7010000000000001,0.9657143450798554,0.5726533706066607
0.3,0.7,0.9656856942910221,0.572637630646126
0.301,0.6990000000000001,0.9656571085149096,0.5726219225448894
0.302,0.698,0.9656285876858844,0.5726062463029501
0.303,0.6970000000000001,0.9656001317385778,0.572590601920309
0.304,0.696,0.9655717406078863,0.5725749893969655
0.305,0.6950000000000001,0.9655434142289692,0.5725594087329199
0.306,0.694,0.9655151525372476,0.5725438599281718
0.307,0.6930000000000001,0.965486955468403,0.572528342982722
0.308,0.692,0.965458822958377,0.5725128578965696
0.309,0.6910000000000001,0.9654307549433692,0.5724974046697152
0.31,0.69,0.9654027513598353,0.5724819833021583
0.311,0.6890000000000001,0.9653748121444875,0.5724665937938993
0.312,0.688,0.9653469372342924,0.5724512361449382
0.313,0.687,0.9653191265664699,0.5724359103552747
0.314,0.6859999999999999,0.9652913800784917,0.5724206164249092
0.315,0.685,0.965263697708081,0.5724053543538413
0.316,0.6839999999999999,0.9652360793932103,0.5723901241420712
0.317,0.683,0.9652085250721009,0.572374925789599
0.318,0.6819999999999999,0.9651810346832217,0.5723597592964245
0.319,0.681,0.9651536081652876,0.572344624662548
0.32,0.6799999999999999,0.965126245457259,0.5723295218879689
0.321,0.679,0.9650989464983398,0.5723144509726878
0.322,0.6779999999999999,0.9650717112279777,0.5722994119167045
0.323,0.677,0.9650445395858614,0.572284404720019
0.324,0.6759999999999999,0.9650174315119207,0.572269429382631
0.325,0.675,0.9649903869463246,0.5722544859045412
0.326,0.6739999999999999,0.9649634058294811,0.5722395742857489
0.327,0.673,0.9649364881020353,0.5722246945262546
0.328,0.6719999999999999,0.9649096337048689,0.572209846626058
0.329,0.671,0.9648828425790986,0.5721950305851591
0.33,0.6699999999999999,0.9648561146660752,0.5721802464035581
0.331,0.669,0.9648294499073832,0.5721654940812547
0.332,0.6679999999999999,0.9648028482448388,0.5721507736182493
0.333,0.667,0.9647763096204889,0.5721360850145415
0.334,0.6659999999999999,0.9647498339766114,0.5721214282701317
0.335,0.665,0.9647234212557122,0.5721068033850194
0.336,0.6639999999999999,0.9646970714005261,0.5720922103592051
0.337,0.663,0.964670784354014,0.5720776491926886
0.338,0.6619999999999999,0.9646445600593636,0.5720631198854698
0.339,0.661,0.9646183984599868,0.5720486224375486
0.34,0.6599999999999999,0.96459229949952,0.5720341568489254
0.341,0.659,0.9645662631218223,0.5720197231196
0.342,0.6579999999999999,0.964540289270975,0.5720053212495723
0.343,0.657,0.9645143778912805,0.5719909512388424
0.344,0.656,0.964488528927261,0.5719766130874103
0.345,0.655,0.964462742323658,0.5719623067952762
0.346,0.654,0.9644370180254311,0.5719480323624395
0.347,0.653,0.9644113559777573,0.5719337897889007
0.348,0.652,0.9643857561260297,0.5719195790746597
0.349,0.651,0.9643602184158566,0.5719054002197167
0.35,0.65,0.9643347427930613,0.5718912532240712
0.351,0.649,0.9643093292036801,0.5718771380877237
0.352,0.648,0.9642839775939617,0.5718630548106738
0.353,0.647,0.9642586879103671,0.5718490033929217
0.354,0.646,0.9642334600995677,0.5718349838344675
0.355,0.645,0.9642082941084447,0.571820996135311
0.356,0.644,0.9641831898840887,0.5718070402954524
0.357,0.643,0.964158147373798,0.5717931163148914
0.358,0.642,0.9641331665250783,0.5717792241936283
0.359,0.641,0.9641082472856418,0.5717653639316629
0.36,0.64,0.9640833896034057,0.5717515355289954
0.361,0.639,0.9640585934264925,0.5717377389856256
0.362,0.638,0.9640338587032277,0.5717239743015536
0.363,0.637,0.9640091853821406,0.5717102414767794
0.364,0.636,0.9639845734119619,0.571696540511303
0.365,0.635,0.9639600227416237,0.5716828714051244
0.366,0.634,0.963935533320259,0.5716692341582434
0.367,0.633,0.9639111050971997,0.5716556287706605
0.368,0.632,0.9638867380219768,0.5716420552423751
0.369,0.631,0.963862432044319,0.5716285135733876
0.37,0.63,0.9638381871141523,0.5716150037636979
0.371,0.629,0.9638140031815993,0.571601525813306
0.372,0.628,0.9637898801969779,0.5715880797222119
0.373,0.627,0.9637658181108002,0.5715746654904155
0.374,0.626,0.9637418168737732,0.5715612831179169
0.375,0.625,0.9637178764367965,0.5715479326047161
0.376,0.624,0.963693996750962,0.5715346139508131
0.377,0.623,0.9636701777675537,0.5715213271562078
0.378,0.622,0.9636464194380456,0.5715080722209004
0.379,0.621,0.9636227217141026,0.5714948491448907
0.38,0.62,0.9635990845475785,0.571481657928179
0.381,0.619,0.9635755078905158,0.5714684985707646
0.382,0.618,0.9635519916951447,0.5714553710726484
0.383,0.617,0.9635285359138821,0.57144227543383
0.384,0.616,0.963505140499332,0.5714292116543092
0.385,0.615,0.9634818054042835,0.5714161797340862
0.386,0.614,0.9634585305817104,0.5714031796731611
0.387,0.613,0.9634353159847708,0.5713902114715337
0.388,0.612,0.9634121615668066,0.5713772751292041
0.389,0.611,0.9633890672813418,0.5713643706461722
0.39,0.61,0.9633660330820826,0.5713514980224382
0.391,0.609,0.9633430589229163,0.5713386572580019
0.392,0.608,0.9633201447579108,0.5713258483528634
0.393,0.607,0.9632972905413144,0.5713130713070227
0.394,0.606,0.9632744962275537,0.5713003261204799
0.395,0.605,0.9632517617712343,0.5712876127932348
0.396,0.604,0.9632290871271396,0.5712749313252873
0.397,0.603,0.9632064722502297,0.5712622817166378
0.398,0.602,0.9631839170956417,0.571249663967286
0.399,0.601,0.963161421618688,0.5712370780772322
0.4,0.6,0.9631389857748566,0.5712245240464758
0.401,0.599,0.9631166095198089,0.5712120018750174
0.402,0.598,0.9630942928093813,0.5711995115628568
0.403,0.597,0.9630720355995827,0.5711870531099938
0.404,0.596,0.963049837846594,0.5711746265164289
0.405,0.595,0.9630276995067691,0.5711622317821616
0.406,0.594,0.9630056205366322,0.5711498689071921
0.407,0.593,0.9629836008928778,0.5711375378915203
0.408,0.5920000000000001,0.9629616405323711,0.5711252387351465
0.409,0.591,0.9629397394121457,0.5711129714380704
0.41,0.5900000000000001,0.9629178974894047,0.5711007360002919
0.411,0.589,0.9628961147215188,0.5710885324218113
0.412,0.5880000000000001,0.9628743910660259,0.5710763607026286
0.413,0.587,0.9628527264806308,0.5710642208427436
0.414,0.5860000000000001,0.9628311209232046,0.5710521128421563
0.415,0.585,0.9628095743517838,0.5710400367008668
0.416,0.5840000000000001,0.9627880867245697,0.5710279924188751
0.417,0.583,0.9627666579999287,0.5710159799961813
0.418,0.5820000000000001,0.9627452881363897,0.5710039994327852
0.419,0.581,0.9627239770926459,0.570992050728687
0.42,0.5800000000000001,0.9627027248275521,0.5709801338838864
0.421,0.579,0.9626815313001262,0.5709682488983837
0.422,0.5780000000000001,0.9626603964695467,0.5709563957721786
0.423,0.577,0.9626393202951529,0.5709445745052716
0.424,0.5760000000000001,0.9626183027364446,0.5709327850976621
0.425,0.575,0.962597343753081,0.5709210275493504
0.426,0.5740000000000001,0.962576443304881,0.5709093018603366
0.427,0.573,0.9625556013518216,0.5708976080306206
0.428,0.5720000000000001,0.9625348178540376,0.5708859460602025
0.429,0.571,0.9625140927718215,0.5708743159490819
0.43,0.5700000000000001,0.9624934260656227,0.5708627176972593
0.431,0.569,0.9624728176960468,0.5708511513047343
0.432,0.5680000000000001,0.9624522676238549,0.5708396167715073
0.433,0.567,0.9624317758099642,0.5708281140975777
0.434,0.5660000000000001,0.9624113422154456,0.5708166432829462
0.435,0.565,0.9623909668015246,0.5708052043276125
0.436,0.5640000000000001,0.9623706495295802,0.5707937972315765
0.437,0.563,0.9623503903611446,0.5707824219948383
0.438,0.562,0.9623301892579024,0.570771078617398
0.439,0.5609999999999999,0.9623100461816902,0.5707597670992552
0.44,0.56,0.9622899610944967,0.5707484874404105
0.441,0.5589999999999999,0.9622699339584607,0.5707372396408634
0.442,0.558,0.962249964735872,0.5707260237006141
0.443,0.5569999999999999,0.9622300533891701,0.5707148396196625
0.444,0.556,0.9622101998809444,0.5707036873980089
0.445,0.5549999999999999,0.9621904041739325,0.5706925670356529
0.446,0.554,0.9621706662310213,0.5706814785325948
0.447,0.5529999999999999,0.9621509860152451,0.5706704218888343
0.448,0.552,0.9621313634897858,0.5706593971043717
0.449,0.5509999999999999,0.9621117986179719,0.5706484041792069
0.45,0.55,0.9620922913632792,0.5706374431133401
0.451,0.5489999999999999,0.962072841689329,0.5706265139067708
0.452,0.548,0.9620534495598878,0.5706156165594993
0.453,0.5469999999999999,0.9620341149388675,0.5706047510715258
0.454,0.546,0.9620148377903244,0.5705939174428498
0.455,0.5449999999999999,0.9619956180784589,0.5705831156734718
0.456,0.544,0.9619764557676151,0.5705723457633913
0.457,0.5429999999999999,0.9619573508222801,0.5705616077126088
0.458,0.542,0.9619383032070835,0.5705509015211241
0.459,0.5409999999999999,0.9619193128867974,0.5705402271889372
0.46,0.54,0.9619003798263354,0.570529584716048
0.461,0.5389999999999999,0.9618815039907523,0.5705189741024566
0.462,0.538,0.961862685345244,0.5705083953481629
0.463,0.5369999999999999,0.9618439238551466,0.5704978484531672
0.464,0.536,0.961825219485936,0.5704873334174692
0.465,0.5349999999999999,0.9618065722032277,0.570476850241069
0.466,0.534,0.9617879819727765,0.5704663989239663
0.467,0.5329999999999999,0.961769448760475,0.5704559794661617
0.468,0.532,0.9617509725323544,0.5704455918676546
0.469,0.531,0.9617325532545838,0.5704352361284457
0.47,0.53,0.9617141908934693,0.5704249122485343
0.471,0.529,0.9616958854154538,0.5704146202279208
0.472,0.528,0.9616776367871168,0.570404360066605
0.473,0.527,0.9616594449751736,0.570394131764587
0.474,0.526,0.961641309946475,0.5703839353218668
0.475,0.525,0.9616232316680071,0.5703737707384443
0.476,0.524,0.9616052101068906,0.5703636380143199
0.477,0.523,0.9615872452303805,0.5703535371494929
0.478,0.522,0.9615693370058658,0.5703434681439637
0.479,0.521,0.9615514854008689,0.5703334309977326
0.48,0.52,0.9615336903830451,0.5703234257107991
0.481,0.519,0.9615159519201826,0.5703134522831633
0.482,0.518,0.9614982699802015,0.5703035107148254
0.483,0.517,0.9614806445311543,0.5702936010057852
0.484,0.516,0.9614630755412245,0.5702837231560429
0.485,0.515,0.9614455629787269,0.5702738771655982
0.486,0.514,0.9614281068121064,0.5702640630344515
0.487,0.513,0.9614107070099392,0.5702542807626024
0.488,0.512,0.9613933635409304,0.5702445303500512
0.489,0.511,0.961376076373915,0.5702348117967978
0.49,0.51,0.9613588454778573,0.5702251251028422
0.491,0.509,0.9613416708218496,0.5702154702681844
0.492,0.508,0.9613245523751135,0.5702058472928242
0.493,0.507,0.9613074901069979,0.5701962561767618
0.494,0.506,0.9612904839869795,0.5701866969199973
0.495,0.505,0.9612735339846619,0.5701771695225306
0.496,0.504,0.9612566400697764,0.5701676739843615
0.497,0.503,0.9612398022121794,0.5701582103054905
0.498,0.502,0.9612230203818549,0.5701487784859169
0.499,0.501,0.9612062945489116,0.5701393785256413
0.5,0.5,0.9611896246835839,0.5701300104246637
0.501,0.499,0.9611730107562314,0.5701206741829835
0.502,0.498,0.9611564527373379,0.5701113698006013
0.503,0.497,0.9611399505975118,0.5701020972775168
0.504,0.496,0.9611235043074856,0.5700928566137302
0.505,0.495,0.961107113838115,0.5700836478092413
